area,2006,2009,2012
S01000712,2224,1520,2645
S01000713,5157,4713,5314
S01000714,4791,5906,5448
S01000715,2436,2289,2304
S01000716,30,92,49
S01000717,392,579,827
S01000718,3287,2551,2983
S01000719,5080,4090,5376
S01000720,5559,5807,5564
S01000721,4472,5112,5563
S01000722,5782,3382,4145
S01000723,6431,5843,6260
S01000724,4823,2056,4039
S01000725,4862,5091,5424
S01000726,5209,4277,6042
S01000727,3357,2360,4231
S01000728,5879,5483,4594
S01000729,3753,1932,2817
S01000730,2006,2866,2954
S01000731,1466,1857,1516
S01000732,259,130,157
S01000733,477,302,343
S01000734,6073,5831,6292
S01000735,1662,2570,2220
S01000736,4747,4608,4389
S01000737,3761,4221,1960
S01000738,1361,2653,2777
S01000739,2813,2898,3620
S01000740,5186,4163,4494
S01000741,5225,3790,4302
S01000742,4908,5103,5238
S01000743,3330,2401,4725
S01000744,144,237,82
S01000745,2975,3050,2656
S01000746,3548,1289,1497
S01000747,812,397,630
S01000748,947,507,237
S01000749,1212,1131,575
S01000750,3066,3762,2984
S01000751,5928,5463,3826
S01000752,2184,1823,2099
S01000753,3127,4130,5349
S01000754,4287,4574,5995
S01000755,5702,6138,4275
S01000756,3071,3585,4140
S01000757,946,3243,2303
S01000758,3333,5667,3506
S01000759,1481,3203,2902
S01000760,4028,5504,5960
S01000761,4431,4612,4496
S01000762,5675,5331,5197
S01000763,5816,5881,6064
S01000764,2826,2600,3428
S01000765,3410,3991,3836
S01000766,4120,3773,3687
S01000767,295,301,248
S01000768,504,728,775
S01000769,135,120,85
S01000770,1379,1804,604
S01000771,1258,2656,2280
S01000772,1542,2654,2708
S01000773,5015,3452,4794
S01000774,2339,1759,3690
S01000775,2662,2959,3529
S01000776,4117,5515,6071
S01000777,1824,1470,4251
S01000778,2957,5460,4182
S01000779,2670,3156,3140
S01000780,1609,1437,1995
S01000781,4715,3989,6084
S01000782,6454,5987,6415
S01000783,3705,5518,4535
S01000784,5130,2876,4100
S01000785,5330,5815,4387
S01000786,6227,5693,3319
S01000787,6327,2806,6487
S01000788,5030,5149,4992
S01000789,2837,2658,3745
S01000790,4837,3944,5612
S01000791,4868,3815,4463
S01000792,6275,6303,5715
S01000793,3599,2346,3110
S01000794,1109,642,1135
S01000795,2444,2181,3563
S01000796,3812,257,818
S01000797,2631,2559,2990
S01000798,4360,4826,4903
S01000799,5808,5979,5653
S01000800,4595,4656,3456
S01000801,5723,6183,5353
S01000802,5137,5131,3844
S01000803,6137,6231,6134
S01000804,4995,1255,452
S01000805,4341,4176,5580
S01000806,6255,6207,5814
S01000807,3392,4327,5585
S01000808,5822,4609,4967
S01000809,6268,5964,6309
S01000810,5840,5873,4868
S01000811,6161,4985,5451
S01000812,1949,1979,1823
S01000813,4978,6163,4655
S01000814,1579,1258,1050
S01000815,1237,789,739
S01000816,360,377,176
S01000817,3649,4670,5108
S01000818,565,488,123
S01000819,5599,5859,4746
S01000820,5955,5222,4891
S01000821,3438,2779,1896
S01000822,4131,5265,5702
S01000823,5436,4726,2412
S01000824,6160,4310,4813
S01000825,2859,4739,4755
S01000826,5488,3410,4672
S01000827,5648,5982,6041
S01000828,5849,5081,6053
S01000829,6294,6321,6208
S01000830,5952,6238,6114
S01000831,6008,6312,5911
S01000832,4807,4882,5085
S01000833,1551,1672,2203
S01000834,1634,2038,774
S01000835,500,653,1064
S01000836,503,85,448
S01000837,177,40,41
S01000838,4942,6264,3927
S01000839,4166,5492,4190
S01000840,1049,733,332
S01000841,972,441,822
S01000842,5823,5496,4025
S01000843,3372,2165,1250
S01000844,2189,769,1123
S01000845,3794,3205,1451
S01000846,1008,350,458
S01000847,2166,559,1365
S01000848,4810,5022,5503
S01000849,4087,6007,4194
S01000850,2473,1502,4057
S01000851,5215,3760,5648
S01000852,1332,1717,1053
S01000853,4043,3778,3461
S01000854,1454,886,925
S01000855,4113,4999,3904
S01000856,3970,2309,2060
S01000857,5450,4208,2246
S01000858,5526,4918,5171
S01000859,3891,2158,3239
S01000860,1723,700,704
S01000861,5524,5571,4991
S01000862,6339,3950,4073
S01000863,5383,1202,2561
S01000864,4129,4680,5460
S01000865,871,1503,1644
S01000866,1605,2071,2258
S01000867,533,408,413
S01000868,2368,2708,2613
S01000869,1891,1574,1086
S01000870,645,1452,1491
S01000871,5305,3548,3052
S01000872,2906,4083,4666
S01000873,2956,1805,2852
S01000874,1610,1388,1567
S01000875,1377,2228,3206
S01000876,1976,1682,2202
S01000877,1140,1081,1093
S01000878,6075,6040,5157
S01000879,4864,2262,4016
S01000880,6297,5448,5402
S01000881,3755,3059,1144
S01000882,2954,1052,1173
S01000883,2396,1205,2957
S01000884,2928,2760,2678
S01000885,6429,6293,4303
S01000886,2851,1586,4001
S01000887,3087,2883,1605
S01000888,1179,764,1472
S01000889,1807,2139,1506
S01000890,2122,959,911
S01000891,6017,5424,5787
S01000892,6124,1345,5394
S01000893,6305,6184,5840
S01000894,3860,4345,6070
S01000895,5259,3747,3772
S01000896,6428,1624,6388
S01000897,5875,5853,6430
S01000898,5018,4029,5393
S01000899,1645,1234,4198
S01000900,6042,6046,6191
S01000901,5534,5884,5367
S01000902,5984,5958,5691
S01000903,5857,6009,6002
S01000904,4728,5477,4835
S01000905,4351,78,524
S01000906,6096,6444,6487
S01000907,317,2763,2374
S01000908,1652,3689,1940
S01000909,5541,6056,6385
S01000910,4358,4286,5208
S01000911,4672,5923,5292
S01000912,4991,5329,6025
S01000913,6071,5432,4800
S01000914,5721,6417,6487
S01000915,4611,3818,4309
S01000916,4834,5969,3946
S01000917,5695,5333,5398
S01000918,3618,3873,4173
S01000919,5433,5770,6301
S01000920,6433,6493,6391
S01000921,3513,4037,2635
S01000922,6178,5184,4289
S01000923,6190,4595,3675
S01000924,3245,3656,2359
S01000925,6028,4771,5891
S01000926,3060,4272,3727
